query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction					
ECP_0017	362663.ECP_0017	6.2E-153	546.6	Escherichia													Bacteria	1R61P@1224,1S0BB@1236,28ICJ@1,2Z8EW@2,3XRGY@561	NA|NA|NA	S	Nucleoside-specific channel-forming protein, Tsx
ECP_0018	362663.ECP_0018	7.3E-299	1032.3	Escherichia			3.1.6.8	ko:K01134	ko00600,ko04142,map00600,map04142		R04856	RC00231	ko00000,ko00001,ko01000				Bacteria	1MUJH@1224,1RN2V@1236,3XRF8@561,COG3119@1,COG3119@2	NA|NA|NA	P	Type I phosphodiesterase / nucleotide pyrophosphatase
ECP_0019	362663.ECP_0019	2E-249	867.8	Escherichia	tnp3503b		2.7.7.7	ko:K02342	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400				Bacteria	1R8ZR@1224,1T0SX@1236,3XPK9@561,COG3677@1,COG3677@2	NA|NA|NA	L	Transposase
ECP_0020	362663.ECP_0020	9.6E-206	722.6	Escherichia	nhaA	GO:0003674,GO:0005215,GO:0005451,GO:0005488,GO:0005543,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006873,GO:0006875,GO:0006883,GO:0006885,GO:0006950,GO:0006970,GO:0008150,GO:0008289,GO:0008324,GO:0009628,GO:0009651,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015491,GO:0015672,GO:0016020,GO:0016021,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0031224,GO:0031226,GO:0034220,GO:0035725,GO:0042592,GO:0043157,GO:0043167,GO:0043168,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051453,GO:0055065,GO:0055067,GO:0055078,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099516,GO:1901611,GO:1901612,GO:1902600		ko:K03313					ko00000,ko02000	2.A.33.1		iSF_1195.SF0016,iSFxv_1172.SFxv_0017,iS_1188.S0018	Bacteria	1MW15@1224,1RNDE@1236,3XMTC@561,COG3004@1,COG3004@2	NA|NA|NA	P	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons
ECP_0021	199310.c0025	1.6E-171	608.6	Escherichia	nhaR	GO:0001121,GO:0001130,GO:0001131,GO:0001140,GO:0001216,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043254,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000142,GO:2000144,GO:2001141		ko:K03717					ko00000,ko03000				Bacteria	1MVHT@1224,1RN7G@1236,3XPFK@561,COG0583@1,COG0583@2	NA|NA|NA	K	regulatory protein
ECP_0022	701347.Entcl_3701	7.3E-29	132.9	Gammaproteobacteria													Bacteria	1P0AU@1224,1SR73@1236,2C8VR@1,348IK@2	NA|NA|NA		
ECP_0023	198214.SF0021	1.4E-175	622.1	Gammaproteobacteria	ribF	GO:0003674,GO:0003824,GO:0003919,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008531,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016779,GO:0044237,GO:0070566	2.7.1.26,2.7.7.2	ko:K11753	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00161,R00549	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000			iETEC_1333.ETEC_0025,iJN746.PP_0602	Bacteria	1MV9I@1224,1RN44@1236,COG0196@1,COG0196@2	NA|NA|NA	H	Belongs to the ribF family
ECP_0024	362663.ECP_0024	0	1937.9	Escherichia	ileS	GO:0003674,GO:0003824,GO:0004812,GO:0004822,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006428,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016			iG2583_1286.G2583_0027,iPC815.YPO0475	Bacteria	1MVBQ@1224,1RMTF@1236,3XNGC@561,COG0060@1,COG0060@2	NA|NA|NA	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)
ECP_0025	362663.ECP_0025	2.6E-88	331.3	Escherichia	lspA	GO:0003674,GO:0003824,GO:0004175,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016021,GO:0016787,GO:0019538,GO:0031224,GO:0031226,GO:0034645,GO:0042157,GO:0042158,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044425,GO:0044459,GO:0044464,GO:0070011,GO:0071704,GO:0071944,GO:0097304,GO:0140096,GO:1901564,GO:1901566,GO:1901576	3.4.23.36	ko:K03101	ko03060,map03060				ko00000,ko00001,ko01000,ko01002				Bacteria	1RGV9@1224,1S60E@1236,3XP2H@561,COG0597@1,COG0597@2	NA|NA|NA	MU	This protein specifically catalyzes the removal of signal peptides from prolipoproteins
ECP_0026	155864.EDL933_0027	2.2E-78	298.1	Escherichia	fkpB	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0061077,GO:0071704,GO:0140096,GO:1901564	5.2.1.8	ko:K03774,ko:K03775					ko00000,ko01000,ko03110				Bacteria	1RHD1@1224,1S5YP@1236,3XPMW@561,COG1047@1,COG1047@2	NA|NA|NA	O	with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe Leu Ile Lys Ala Trp His Gln
ECP_0027	362663.ECP_0027	3E-176	624.4	Escherichia	ispH	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009240,GO:0009987,GO:0016491,GO:0019288,GO:0019637,GO:0019682,GO:0019752,GO:0032787,GO:0042380,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046490,GO:0048037,GO:0051536,GO:0051538,GO:0051540,GO:0055114,GO:0071704,GO:0090407,GO:1901135,GO:1901576	1.17.7.4,2.7.4.25	ko:K00945,ko:K02945,ko:K03527	ko00240,ko00900,ko01100,ko01110,ko01130,ko03010,map00240,map00900,map01100,map01110,map01130,map03010	M00052,M00096,M00178	R00158,R00512,R01665,R05884,R08210	RC00002,RC01137,RC01487	br01610,ko00000,ko00001,ko00002,ko01000,ko03011			iECIAI1_1343.ECIAI1_0030,iECW_1372.ECW_m0028,iEKO11_1354.EKO11_3884,iEcHS_1320.EcHS_A0031,iEcolC_1368.EcolC_3626,iIT341.HP0400,iLJ478.TM1444,iPC815.YPO0477,iSFV_1184.SFV_0023,iSF_1195.SF0026,iSFxv_1172.SFxv_0027,iS_1188.S0028,iWFL_1372.ECW_m0028,iYL1228.KPN_00024	Bacteria	1MU7G@1224,1RMN8@1236,3XM3C@561,COG0761@1,COG0761@2	NA|NA|NA	IM	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
ECP_0028	362663.ECP_0028	2.4E-172	611.3	Escherichia	rihC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006152,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008477,GO:0009056,GO:0009116,GO:0009119,GO:0009164,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019439,GO:0033554,GO:0034641,GO:0034655,GO:0034656,GO:0042278,GO:0042454,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0045437,GO:0046483,GO:0046700,GO:0047622,GO:0047724,GO:0050263,GO:0050896,GO:0051716,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	3.2.2.1,3.2.2.8	ko:K01239,ko:K01250,ko:K10213,ko:K12700	ko00230,ko00240,ko00760,ko01100,map00230,map00240,map00760,map01100		R01245,R01273,R01677,R01770,R02137,R02143	RC00033,RC00063,RC00122,RC00318,RC00485	ko00000,ko00001,ko01000			iECH74115_1262.ECH74115_3298,iECNA114_1301.ECNA114_0014,iECSP_1301.ECSP_3040,iECs_1301.ECs3054,iEcE24377_1341.EcE24377A_0030,iLF82_1304.LF82_1885,iNRG857_1313.NRG857_00145,iSbBS512_1146.SbBS512_E0598,iYL1228.KPN_00025,iZ_1308.Z3419	Bacteria	1MUIW@1224,1RQ1V@1236,3XNKR@561,COG1957@1,COG1957@2	NA|NA|NA	F	Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity
ECP_0029	198214.SF0028	2.9E-148	531.2	Gammaproteobacteria	dapB	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008839,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019752,GO:0019877,GO:0042802,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.17.1.8	ko:K00215,ko:K03546	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00525,M00526,M00527	R04198,R04199	RC00478	ko00000,ko00001,ko00002,ko01000,ko03400			iIT341.HP0510,iLJ478.TM1520,iSbBS512_1146.SbBS512_E0035	Bacteria	1MUCT@1224,1RMCZ@1236,COG0289@1,COG0289@2	NA|NA|NA	E	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate
ECP_0031	199310.c0040	1E-223	782.3	Escherichia	carA	GO:0000050,GO:0003674,GO:0003824,GO:0004088,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005951,GO:0006082,GO:0006139,GO:0006206,GO:0006207,GO:0006220,GO:0006221,GO:0006520,GO:0006525,GO:0006526,GO:0006541,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016884,GO:0018130,GO:0019438,GO:0019627,GO:0019637,GO:0019693,GO:0019752,GO:0019856,GO:0032991,GO:0034641,GO:0034654,GO:0040007,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046390,GO:0046394,GO:0046483,GO:0055086,GO:0071704,GO:0071941,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494	6.3.5.5	ko:K01956	ko00240,ko00250,ko01100,map00240,map00250,map01100	M00051	R00256,R00575,R01395,R10948,R10949	RC00002,RC00010,RC00043,RC02750,RC02798,RC03314	ko00000,ko00001,ko00002,ko01000			iAPECO1_1312.APECO1_1950,iNJ661.Rv1383,iUTI89_1310.UTI89_C0036,ic_1306.c0040	Bacteria	1MUB9@1224,1RMAW@1236,3XMKS@561,COG0505@1,COG0505@2	NA|NA|NA	F	Carbamoyl-phosphate synthetase glutamine chain
